intent_name,count
request_cuisines,14
inform_cuisine,21
inform_permanent_language,17
query_knowledge_base,19
user_wants_to_cancel_booking,7
inform_cancel_booking_id,3
user_wants_to_change_restaurant_booking,11
user_wants_to_change_restaurant_booking_date,11
user_wants_to_change_restaurant_booking_num_people,3
user_wants_to_change_both_restaurant_booking_date_and_num_people,5
inform_change_booking_id,3
view_bookings,22
view_all_bookings,11
view_upcoming_bookings,14
view_past_bookings,14
inform_num_people,39
inform_date,10
inform_time,4
request_booking_details,8
inform_restaurant_id,4
inform_booking_restaurant_id,3
inform_view_details_restaurant_id,3
stop_restaurant_booking_form,11
inform_location,2
inform_city,4
inform_state,8
inform_restaurant_name,23
request_restaurants,17
request_menu,7
request_more_restaurant_options,10
request_opening_hours,2
request_ambiance,10
want_to_search_restaurants,7
search_restaurants,43
bot_challenge,11
out_of_scope,19
inform_favorite_cuisines,5
request_user_registration_form,7
request_login_form,7
logout,7
inform_user_name,18
inform_user_email,6
inform_user_password,5
greet,27
mood_great,31
mood_unhappy,22
goodbye,20
affirm,34
deny,25
thank_you,12
stop,19
nlu_fallback,1
