"","Entity","Precision","Recall","F1 Score","Examples"
"🟢","state","100.0%","100.0%","100.0%","12"
"🟢","location","100.0%","100.0%","100.0%","41"
"🟢","num_people","100.0%","100.0%","100.0%","41"
"🟢","object_type","100.0%","100.0%","100.0%","9"
"🟢","permanent_language","100.0%","100.0%","100.0%","16"
"🟢","mention","100.0%","100.0%","100.0%","10"
"🟢","city","100.0%","100.0%","100.0%","3"
"🟢","restaurant_id","100.0%","100.0%","100.0%","8"
"🟢","cuisine","100.0%","100.0%","100.0%","51"
"🟢","date","100.0%","100.0%","100.0%","23"
"🟢","booking_id","100.0%","100.0%","100.0%","4"
"🟢","time","100.0%","100.0%","100.0%","8"
"🟢","restaurant_name","100.0%","100.0%","100.0%","57"
"🟢","attribute","100.0%","100.0%","100.0%","13"
"🟢","restaurant","100.0%","100.0%","100.0%","7"
"🟠","password","50.0%","100.0%","66.7%","2"
"🟠","PERSON","33.3%","66.7%","44.4%","6"
"🔴","user_name","33.3%","33.3%","33.3%","6"
