"","intent","Precision","Recall","F1 Score","Examples"
"🟢","user_wants_to_change_restaurant_booking","100.0%","100.0%","100.0%","10"
"🟢","inform_permanent_language","100.0%","100.0%","100.0%","16"
"🟢","request_restaurants","100.0%","100.0%","100.0%","16"
"🟢","inform_favorite_cuisines","100.0%","100.0%","100.0%","4"
"🟢","user_wants_to_cancel_booking","100.0%","100.0%","100.0%","6"
"🟢","view_upcoming_bookings","100.0%","100.0%","100.0%","13"
"🟢","inform_restaurant_name","100.0%","100.0%","100.0%","23"
"🟢","thank_you","100.0%","100.0%","100.0%","11"
"🟢","request_cuisines","100.0%","100.0%","100.0%","7"
"🟢","emoji_mood_great","100.0%","100.0%","100.0%","16"
"🟢","inform_city","100.0%","100.0%","100.0%","4"
"🟢","request_more_restaurant_options","100.0%","100.0%","100.0%","9"
"🟢","logout","100.0%","100.0%","100.0%","6"
"🟢","emoji_affirm","100.0%","100.0%","100.0%","3"
"🟢","inform_cuisine","100.0%","100.0%","100.0%","18"
"🟢","query_knowledge_base","100.0%","100.0%","100.0%","19"
"🟢","inform_change_booking_id","100.0%","100.0%","100.0%","2"
"🟢","stop","100.0%","100.0%","100.0%","18"
"🟢","emoji_deny","100.0%","100.0%","100.0%","5"
"🟢","inform_date","100.0%","100.0%","100.0%","10"
"🟢","request_menu","100.0%","100.0%","100.0%","7"
"🟢","out_of_scope","100.0%","100.0%","100.0%","18"
"🟢","inform_booking_restaurant_id","100.0%","100.0%","100.0%","2"
"🟢","mood_unhappy","100.0%","100.0%","100.0%","17"
"🟢","view_bookings","100.0%","100.0%","100.0%","21"
"🟢","request_opening_hours","100.0%","100.0%","100.0%","2"
"🟢","bot_challenge","100.0%","100.0%","100.0%","10"
"🟢","stop_restaurant_booking_form","100.0%","100.0%","100.0%","9"
"🟢","deny","100.0%","100.0%","100.0%","18"
"🟢","user_wants_to_change_both_restaurant_booking_date_and_num_people","100.0%","100.0%","100.0%","4"
"🟢","inform_location","100.0%","100.0%","100.0%","2"
"🟢","request_user_registration_form","100.0%","100.0%","100.0%","6"
"🟢","goodbye","100.0%","100.0%","100.0%","16"
"🟢","emoji_goodbye","100.0%","100.0%","100.0%","6"
"🟢","inform_user_email","100.0%","100.0%","100.0%","6"
"🟢","view_all_bookings","100.0%","100.0%","100.0%","10"
"🟢","affirm","100.0%","100.0%","100.0%","30"
"🟢","request_ambiance","100.0%","100.0%","100.0%","10"
"🟢","inform_view_details_restaurant_id","100.0%","100.0%","100.0%","2"
"🟢","inform_cancel_booking_id","100.0%","100.0%","100.0%","2"
"🟢","want_to_search_restaurants","100.0%","100.0%","100.0%","7"
"🟢","user_wants_to_change_restaurant_booking_num_people","100.0%","100.0%","100.0%","2"
"🟢","inform_restaurant_id","100.0%","100.0%","100.0%","4"
"🟢","search_restaurants","100.0%","100.0%","100.0%","44"
"🟢","inform_state","100.0%","100.0%","100.0%","8"
"🟢","view_past_bookings","100.0%","100.0%","100.0%","13"
"🟢","request_login_form","100.0%","100.0%","100.0%","6"
"🟢","user_wants_to_change_restaurant_booking_date","100.0%","100.0%","100.0%","10"
"🟢","greet","100.0%","100.0%","100.0%","26"
"🟢","mood_great","100.0%","100.0%","100.0%","27"
"🟢","emoji_mood_unhappy","100.0%","100.0%","100.0%","12"
"🟢","inform_time","100.0%","100.0%","100.0%","4"
"🟢","request_booking_details","100.0%","100.0%","100.0%","8"
"🟢","inform_user_name","100.0%","100.0%","100.0%","18"
"🟢","inform_num_people","94.9%","100.0%","97.4%","37"
"🟡","inform_user_password","100.0%","60.0%","75.0%","5"
